,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
250,townsville,au,-18.52936655764581,147.5601642251933,74.2,100,76,10.67
251,tamandare,br,-10.045281271602898,-31.38292424559917,78.43,100,44,14.14
252,saint anthony,ca,57.80058988008431,-56.17110268094027,47.2,100,0,4.52
253,baruun-urt,mn,46.88373086214328,113.40888127155603,60.61,81,0,6.2
254,igurubi,tz,-3.96777975168493,33.99386604232777,79.69,53,20,4.52
255,santa rosa,ar,-36.06354605387903,-65.2667849528156,59.98,32,0,11.01
256,bubaque,gw,8.768918422991515,-16.466853210452488,81.85,97,92,14.58
257,ayagoz,kz,48.70272636678419,78.46225572509414,54.67,49,0,12.68
258,ampanihy,mg,-25.724666258214206,42.72384049194841,71.68,100,0,6.42
259,sechura,pe,-8.958212310183406,-85.85735676616189,66.55,100,56,20.74
260,cayenne,gf,5.6125768972527235,-50.59583878504473,83.29,100,88,14.58
261,belyy yar,ru,60.26977317554451,87.42822190506516,56.2,85,68,2.39
262,opuwo,na,-18.76317610813808,9.886809341636367,63.58,99,0,24.76
263,rawson,ar,-46.63869594872695,-59.27560099244904,43.96,92,68,19.17
264,ponta do sol,cv,21.91566935401176,-34.706604526115456,77.53,100,8,21.18
265,loukhi,ru,65.36939608762845,33.316857052275466,65.38,56,48,5.41
266,mahebourg,mu,-31.65367902930137,64.43239946391965,64.39,100,24,15.14
267,pitimbu,br,-7.335917893795623,-27.92241656006595,78.79,100,0,16.15
268,camacha,pt,38.84756212258935,-17.916711004443986,70.06,100,0,8.43
269,namatanai,pg,5.930069674455415,159.2167894034762,82.21,100,24,6.42
270,esperance,au,-49.53798202431265,125.22704225387031,40.9,100,88,19.84
271,tautira,pf,-19.64570517905647,-146.87462326027077,73.66,100,20,28.68
272,lompoc,us,22.204225666027813,-132.42606832378084,75.55,100,92,18.05
273,baykit,ru,62.45632533123313,94.98610939335039,48.01,80,36,2.51
274,kiama,au,-36.447516527773544,155.5436180635396,64.03,97,44,31.92
275,inhumas,br,-16.363884693324092,-49.58956321634315,76.87,31,0,6.93
276,chapais,ca,54.87207504890038,-72.64398834015974,49.18,100,92,25.32
277,tiksi,ru,76.76574335784785,124.50370886161818,34.69,96,48,12.8
278,sola,vu,-13.296593585891534,165.56604142143837,78.79,100,0,21.18
279,pucallpa,pe,-9.432303328726507,-73.94729025529143,86.89,61,48,2.95
280,mazatlan,mx,21.951494512331724,-107.7705439075066,82.21,100,0,8.77
281,kantang,th,7.451012253780222,99.12307772076662,82.57,100,64,11.12
282,margate,za,-41.97230293190313,42.674401678367815,45.76,100,80,12.68
283,puerto leguizamo,co,-1.3972954572187501,-75.74571087231747,87.52,66,12,4.41
284,jacmel,ht,15.81289265911035,-72.99305579876425,83.2,100,48,25.32
285,paranga,ru,56.51892507383332,49.26384029161105,66.55,64,0,6.53
286,oranjemund,na,-30.87928546189492,11.161827381959322,59.71,100,32,21.18
287,huaraz,pe,-9.600419049169247,-77.59038115893303,52.51,46,0,2.17
288,ewa beach,us,11.82466926730396,-161.445856001384,78.88,100,92,12.8
289,palu,id,0.33926923155205513,119.2385583646516,83.38,100,80,8.66
290,maningrida,au,-10.225069949649633,133.54181392280174,79.69,99,36,16.6
291,marcona,pe,-18.13093043819354,-77.42077924106898,62.86,100,12,20.74
292,kahului,us,31.089995672658475,-148.78777354158606,76.63,100,64,10
293,awbari,ly,26.233610385843324,12.475912793213267,97.6,16,0,15.48
294,martapura,id,-4.183268900096345,115.11899205246986,81.94,100,0,11.68
295,arroio grande,br,-32.3607894912,-52.691320839607066,59.98,95,0,13.58
296,tlacotepec,mx,17.87551473656055,-100.0698160302682,70.42,91,36,2.62
297,shabqadar,pk,34.290903387686896,71.39690305207068,91.4,55,40,9.17
298,asau,tv,-16.125773708472554,179.63076146136638,71.86,100,0,13.69
